Nordestinos que moram no nordeste,"96,6",
Sulistas que moram no Sul,"91,9",
Sudestinos que moram no Sudeste,"88,7",
Nortistas que moram no Norte,87,
Centro-oestinos que moram no Centro-Oeste,"73,4",
,,
,,
,,
,,
,,
,,
,,"
"
